_id,name,salary,link,min_salary,max_salary,currency,source
5f84bd150f267e4e4693770b,Разработчик DevOps (SOC),"[""з/п не указана""]",https://hh.ru/vacancy/39596638?query=python,none,none,none,hhru
5f84bd150f267e4e4693770c,Data Scientist,"[""з/п не указана""]",https://hh.ru/vacancy/39176432?query=python,none,none,none,hhru
5f84bd150f267e4e4693770d,Java/Scala разработчик,"[""з/п не указана""]",https://hh.ru/vacancy/38652769?query=python,none,none,none,hhru
5f84bd150f267e4e4693770e,DevOps инженер,"[""з/п не указана""]",https://hh.ru/vacancy/39625413?query=python,none,none,none,hhru
5f84bd150f267e4e4693770f,Инженер по тестированию (Mobile),"[""з/п не указана""]",https://hh.ru/vacancy/38768334?query=python,none,none,none,hhru
5f84bd150f267e4e46937710,"Junior+, Middle DevOps engineer (Вьетнам)","[""до "",""100 000"","" "",""руб."","" на руки""]",https://hh.ru/vacancy/39208738?query=python,none,none,none,hhru
5f84bd150f267e4e46937711,Junior Java разработчик,"[""з/п не указана""]",https://hh.ru/vacancy/39389029?query=python,none,none,none,hhru
5f84bd150f267e4e46937712,Middle Data Scientist,"[""з/п не указана""]",https://hh.ru/vacancy/39746936?query=python,none,none,none,hhru
5f84bd150f267e4e46937713,DevOps инженер,"[""з/п не указана""]",https://hh.ru/vacancy/39449142?query=python,none,none,none,hhru
5f84bd150f267e4e46937714,Build Engineer,"[""з/п не указана""]",https://hh.ru/vacancy/39413894?query=python,none,none,none,hhru
5f84bd150f267e4e46937715,"Fullstack разработчик (TeamLead), e-commerce, fintech","[""з/п не указана""]",https://hh.ru/vacancy/39289111?query=python,none,none,none,hhru
5f84bd150f267e4e46937716,Full stack developer / architect for R&D software,"[""з/п не указана""]",https://hh.ru/vacancy/38189927?query=python,none,none,none,hhru
5f84bd150f267e4e46937717,BI аналитик (Tableau),"[""от "",""100 000"","" до "",""150 000"","" "",""руб."","" на руки""]",https://hh.ru/vacancy/39068463?query=python,100000,150000,руб.,hhru
