_id,name,salary,link,min_salary,max_salary,currency,source
5f84bd0b0f267e4e4693763d,Ведущий аналитик клиентского сервиса,"[""По договорённости"",""По договорённости"",""По договорённости"",""130 000"",""150 000"","" "",""руб."",""от"","" "",""50 000 руб."",""до"","" "",""104 000 руб."",""до"","" "",""60 000 руб.""]",https://www.superjob.ru/vakansii/veduschij-analitik-klientskogo-servisa-34672546.html,none,none,none,superjobru
5f84bd0b0f267e4e46937642,Системный администратор Linux,"[""По договорённости"",""70 000"",""80 000"","" "",""руб."",""По договорённости"",""от"","" "",""50 000 руб."",""184 000"",""230 000"","" "",""руб."",""35 845"","" "",""руб."",""до"","" "",""80 000 руб.""]",https://www.superjob.ru/vakansii/sistemnyj-administrator-linux-34585888.html,none,none,none,superjobru
5f84bd0b0f267e4e46937644,Программист PHP (удаленно),"[""от"","" "",""120 000 руб."",""от"","" "",""110 000 руб."",""По договорённости"",""По договорённости"",""По договорённости"",""до"","" "",""104 000 руб."",""от"","" "",""140 000 руб.""]",https://www.superjob.ru/vakansii/programmist-php-34674963.html,120000,none,руб.,superjobru
5f84bd0b0f267e4e46937645,Инженер по автоматизированному тестированию,"[""до"","" "",""200 000 руб."",""от"","" "",""40 000 руб."",""от"","" "",""60 000 руб."",""от"","" "",""100 000 руб."",""70 000"",""80 000"","" "",""руб."",""от"","" "",""80 000 руб."",""70 000"",""80 000"","" "",""руб.""]",https://www.superjob.ru/vakansii/inzhener-po-avtomatizirovannomu-testirovaniyu-34645846.html,none,200000,руб.,superjobru
5f84bd0b0f267e4e46937647,Разработчик Windows-приложений,"[""По договорённости"",""от"","" "",""160 000 руб."",""от"","" "",""110 000 руб."",""от"","" "",""100 000 руб."",""от"","" "",""150 000 руб."",""По договорённости"",""до"","" "",""40 000 руб.""]",https://www.superjob.ru/vakansii/razrabotchik-windows-prilozhenij-34617129.html,none,none,none,superjobru
5f84bd0b0f267e4e46937648,Middle QA Engineer,"[""По договорённости""]",https://www.superjob.ru/vakansii/middle-qa-engineer-34664961.html,none,none,none,superjobru
5f84bd0b0f267e4e46937649,PIM Product Manager,"[""По договорённости""]",https://www.superjob.ru/vakansii/pim-product-manager-34715464.html,none,none,none,superjobru
5f84bd0b0f267e4e46937650,Программист-стажер Java,"[""По договорённости"",""По договорённости"",""По договорённости"",""По договорённости"",""По договорённости"",""По договорённости"",""По договорённости""]",https://www.superjob.ru/vakansii/programmist-stazher-java-34660071.html,none,none,none,superjobru
5f84bd0b0f267e4e46937651,Backend-разработчик,"[""По договорённости"",""По договорённости"",""По договорённости"",""По договорённости"",""По договорённости"",""до"","" "",""80 000 руб."",""По договорённости""]",https://www.superjob.ru/vakansii/backend-razrabotchik-34111905.html,none,none,none,superjobru
5f84bd0c0f267e4e4693765b,Системный инженер Linux,"[""По договорённости"",""от"","" "",""40 000 руб."",""от"","" "",""60 000 руб."",""от"","" "",""100 000 руб."",""70 000"",""80 000"","" "",""руб."",""от"","" "",""80 000 руб."",""70 000"",""80 000"","" "",""руб.""]",https://www.superjob.ru/vakansii/sistemnyj-inzhener-linux-34584877.html,none,none,none,superjobru
5f84bd0c0f267e4e4693765c,Биоинформатик в области геномики и транскриптомики,"[""По договорённости""]",https://www.superjob.ru/vakansii/bioinformatik-v-oblasti-genomiki-i-transkriptomiki-34574371.html,none,none,none,superjobru
5f84bd0c0f267e4e4693765e,Тестировщик,"[""По договорённости"",""По договорённости"",""По договорённости"",""По договорённости"",""до"","" "",""200 000 руб."",""По договорённости"",""По договорённости""]",https://www.superjob.ru/vakansii/testirovschik-34632584.html,none,none,none,superjobru
5f84bd0c0f267e4e46937660,Backend-разработчик C/C++,"[""По договорённости"",""от"","" "",""160 000 руб."",""от"","" "",""110 000 руб."",""от"","" "",""100 000 руб."",""от"","" "",""150 000 руб."",""По договорённости"",""до"","" "",""40 000 руб.""]",https://www.superjob.ru/vakansii/backend-razrabotchik-c-34746784.html,none,none,none,superjobru
5f84bd0c0f267e4e46937663,Системный администратор (DevOps Senior),"[""184 000"",""230 000"","" "",""руб."",""70 000"",""80 000"","" "",""руб."",""По договорённости"",""от"","" "",""50 000 руб."",""35 845"","" "",""руб."",""до"","" "",""80 000 руб."",""90 000"",""110 000"","" "",""руб.""]",https://www.superjob.ru/vakansii/sistemnyj-administrator-34595978.html,184000,230000,руб.,superjobru
5f84bd0c0f267e4e46937665,ML/NLP Architect / ML/NLP Архитектор,"[""По договорённости"",""38 000"",""40 000"","" "",""руб."",""По договорённости"",""По договорённости"",""от"","" "",""220 000 руб."",""По договорённости"",""50 000"","" "",""руб.""]",https://www.superjob.ru/vakansii/ml-33788781.html,none,none,none,superjobru
5f84bd0c0f267e4e46937666,Младший аналитик данных (junior data scientist),"[""до"","" "",""40 000 руб."",""По договорённости"",""По договорённости"",""130 000"",""150 000"","" "",""руб."",""от"","" "",""50 000 руб."",""до"","" "",""104 000 руб."",""до"","" "",""60 000 руб.""]",https://www.superjob.ru/vakansii/mladshij-analitik-dannyh-34605996.html,none,40000,руб.,superjobru
5f84bd0c0f267e4e46937669,Разработчик технического зрения (Computer Vision / Image Processing),"[""По договорённости"",""от"","" "",""160 000 руб."",""от"","" "",""110 000 руб."",""от"","" "",""100 000 руб."",""от"","" "",""150 000 руб."",""По договорённости"",""до"","" "",""40 000 руб.""]",https://www.superjob.ru/vakansii/razrabotchik-tehnicheskogo-zreniya-34233000.html,none,none,none,superjobru
5f84bd0d0f267e4e4693766d,QA-специалист,"[""По договорённости"",""По договорённости"",""По договорённости"",""По договорённости"",""до"","" "",""200 000 руб."",""По договорённости"",""По договорённости""]",https://www.superjob.ru/vakansii/qa-specialist-34111890.html,none,none,none,superjobru
5f84bd0d0f267e4e46937671,Senior QA engineer,"[""По договорённости"",""По договорённости"",""По договорённости"",""По договорённости"",""до"","" "",""200 000 руб."",""По договорённости"",""По договорённости""]",https://www.superjob.ru/vakansii/senior-qa-engineer-32391200.html,none,none,none,superjobru
5f84bd0d0f267e4e46937672,Ведущий инженер по тестированию,"[""По договорённости"",""По договорённости"",""По договорённости"",""от"","" "",""28 000 руб."",""от"","" "",""80 000 руб."",""от"","" "",""65 000 руб."",""от"","" "",""67 000 руб.""]",https://www.superjob.ru/vakansii/veduschij-inzhener-po-testirovaniyu-34587361.html,none,none,none,superjobru
5f84bd0d0f267e4e46937674,NLP Engineer / NLP инженер,"[""По договорённости"",""от"","" "",""160 000 руб."",""от"","" "",""110 000 руб."",""от"","" "",""100 000 руб."",""от"","" "",""150 000 руб."",""По договорённости"",""до"","" "",""40 000 руб.""]",https://www.superjob.ru/vakansii/nlp-engineer-33788780.html,none,none,none,superjobru
5f84bd0d0f267e4e46937679,Учитель информатики и ИКТ,"[""от"","" "",""80 000 руб."",""По договорённости"",""от"","" "",""78 000 руб."",""от"","" "",""78 000 руб."",""По договорённости"",""от"","" "",""80 000 руб."",""По договорённости""]",https://www.superjob.ru/vakansii/uchitel-informatiki-i-ikt-30254613.html,80000,none,руб.,superjobru
